GEOID,weighted_ndvi
06073017059,0.35243016
06073017057,0.41922802
06073017031,0.32192588
06073017058,0.27870902
06073017060,0.3293509
06073017063,0.34181306
06073017066,0.35563955
06073020710,0.41393355
06073020401,0.41011035
06073020711,0.39169568
