GEOID,weighted_ndvi
06037123601,0.2506892
06037123800,0.26768404
06037124203,0.21342379
06037123902,0.25970882
06037124105,0.1911346
06037124104,0.1836491
06037123901,0.21513541
06037124103,0.20316121
06037123205,0.17651296
06037123204,0.1752373
06037123203,0.15330271
06037123301,0.17953694
06037123602,0.2960268
06037128601,0.19262335
06037128220,0.2837475
06037128210,0.18940714
06037123520,0.23536047
06037128101,0.27195662
06037128102,0.21976946
06037123510,0.23506345
06037127920,0.24400757
06037127910,0.19970222
06037123700,0.23520966
06037123420,0.20316295
06037123304,0.20646521
06037123303,0.21050122
06037123410,0.19015975
06037121600,0.2007617
06037122000,0.20052399
06037119700,0.23943497
06037119001,0.24240814
06037119802,0.22395332
06037141500,0.42994413
06037139705,0.41292658
06037139704,0.42871353
06037139701,0.37830546
06037139600,0.33584842
06037139502,0.278745
06037139504,0.14834376
06037139505,0.10649373
06037980024,0.27951312
06037139506,0.12482427
06037139802,0.42194715
06037137504,0.42671496
06037139801,0.403854
06037138000,0.3983973
06037139402,0.3707734
06037139401,0.17889644
06037137401,0.36155263
06037137501,0.31475854
06037137402,0.35125232
06037139303,0.15312417
06037141305,0.2833927
06037141400,0.31811854
06037128910,0.3041409
06037128802,0.27159137
06037128801,0.24083444
06037128400,0.2866068
06037128303,0.17994027
06037128302,0.22013164
06037127806,0.2556415
06037127711,0.30310753
06037137502,0.35265306
06037139302,0.15204881
06037139301,0.34480146
06037137104,0.3344872
06037133102,0.2613351
06037133101,0.26748636
06037137103,0.26209104
06037137000,0.35201028
06037137203,0.3181129
06037137202,0.27349114
06037139001,0.264015
06037139200,0.2596316
06037132101,0.24914402
06037132900,0.29583853
06037132700,0.23846114
06037132001,0.32152063
06037132002,0.3103103
06037132302,0.24960738
06037132102,0.23002356
06037132301,0.23426789
06037134901,0.27919152
06037134905,0.22433095
06037132502,0.26410323
06037135113,0.29948607
06037131024,0.27991727
06037137301,0.3795161
06037133000,0.27416185
06037134904,0.2511069
06037135115,0.22295177
06037132501,0.24837737
06037135116,0.21717986
06037137302,0.3554057
06037134802,0.28688106
06037134907,0.1539141
06037134906,0.17094655
06037134801,0.27225247
06037135102,0.32452407
06037131023,0.25655535
06037135201,0.31121996
06037131702,0.2748395
06037135111,0.29467884
06037135202,0.31923002
06037131701,0.24322167
06037134520,0.19084892
06037134720,0.26056883
06037134002,0.24366139
06037135204,0.31892902
06037134001,0.22897826
06037134710,0.18658963
06037134521,0.1689593
06037131900,0.28857252
06037131802,0.29573786
06037131801,0.22030291
06037131100,0.2939718
06037131200,0.29820836
06037131300,0.26714832
06037131022,0.2308845
06037131400,0.24990776
06037131021,0.25237745
06037115401,0.306486
06037134522,0.221669
06037131600,0.31066066
06037134303,0.29329103
06037134104,0.22661436
06037135205,0.33803985
06037134101,0.26965088
06037134103,0.2560678
06037134422,0.3138332
06037134421,0.34587792
06037134201,0.25785828
06037127803,0.2210168
06037127103,0.17080219
06037127104,0.24808091
06037127102,0.20338984
06037127220,0.20272996
06037127210,0.19603564
06037120300,0.25145388
06037120400,0.19320896
06037120030,0.1773147
06037120020,0.16025825
06037127805,0.22091728
06037127606,0.2714196
06037127605,0.21048144
06037127804,0.2294397
06037127712,0.24027486
06037127603,0.23206748
06037127604,0.22391587
06037127300,0.21044064
06037980008,0.1144103
06037127400,0.19081272
06037120010,0.25061056
06037120106,0.14541705
06037120104,0.13794242
06037119900,0.24746875
06037117530,0.17021783
06037120107,0.14146048
06037120103,0.10996344
06037120105,0.22259305
06037117520,0.18784672
06037120108,0.17912719
06037119801,0.23611782
06037119004,0.22145279
06037119400,0.24033995
06037104821,0.21748129
06037104822,0.17532511
06037119003,0.21515888
06037104500,0.2105906
06037104620,0.21634793
06037104610,0.1945284
06037104403,0.20564295
06037119340,0.1220042
06037119341,0.19034106
06037117510,0.1868031
06037119320,0.22282866
06037119342,0.17903747
06037117101,0.20548074
06037119201,0.2352265
06037119310,0.19659956
06037117102,0.27453732
06037119202,0.21390775
06037104404,0.1999031
06037104401,0.22084981
06037104310,0.19291495
06037109500,0.21078004
06037107020,0.2582188
06037107010,0.25734073
06037106403,0.27118552
06037106407,0.16941354
06037106408,0.1888872
06037106405,0.2262308
06037109603,0.24525316
06037109601,0.25143284
06037109604,0.24580531
06037109400,0.24157271
06037109100,0.24995215
06037109200,0.27697375
06037106649,0.28432286
06037106648,0.22582197
06037980022,0.19839948
06037106604,0.24651097
06037106113,0.24561974
06037106020,0.2715406
06037106010,0.25337455
06037106406,0.23804212
06037106520,0.23140453
06037106510,0.23410332
06037127520,0.10151806
06037117408,0.14914806
06037117407,0.117123686
06037117404,0.26403964
06037117303,0.27812722
06037117405,0.1121893
06037117302,0.25998473
06037117201,0.21881197
06037117202,0.2641024
06037117301,0.2709734
06037134306,0.19446342
06037134304,0.26974744
06037115302,0.21450987
06037113423,0.27608186
06037134305,0.13481139
06037134302,0.30744585
06037113428,0.28449714
06037134423,0.32652912
06037113424,0.28268412
06037113427,0.18185998
06037115403,0.23284815
06037115404,0.25749686
06037115202,0.2475038
06037115101,0.34138897
06037115104,0.24061647
06037115301,0.29111022
06037115103,0.26783293
06037115203,0.23218465
06037115204,0.2294986
06037111302,0.2684952
06037113238,0.21932481
06037134424,0.3452162
