GEOID,weighted_ndvi
04013106600,0.33489308
04013106702,0.27935377
04013106701,0.15403147
04013106200,0.36632034
04013106100,0.24659513
04013105503,0.1263004
04013105400,0.30459115
04013105502,0.17222045
04013104501,0.14332035
04013104402,0.1351679
04013116731,0.17230508
04013116730,0.15259644
04013116732,0.15614304
04013116617,0.2001081
04013116612,0.18859197
04013116610,0.19493705
04013116616,0.18820435
04013116606,0.19386935
04013115600,0.15274851
04013116607,0.17012854
04013116611,0.23241626
04013116619,0.20775567
04013116618,0.20114338
04013116605,0.169117
04013116621,0.17586166
04013116620,0.18914884
04013082206,0.1974188
04013112518,0.20307735
04013082207,0.2342097
04013112515,0.16884905
04013115500,0.16167533
04013112514,0.14842936
04013117300,0.17880285
04013114705,0.09282634
04013114704,0.12047427
04013114500,0.1480963
04013114600,0.14382988
04013112700,0.1669924
04013112602,0.15901858
04013112601,0.13615085
04013112517,0.18707381
04013082204,0.17729388
04013082212,0.18158911
04013112516,0.17535734
04013082205,0.18920387
04013082213,0.17748031
04013112510,0.17928335
04013112512,0.18256977
04013112522,0.16701822
04013112508,0.14481345
04013112524,0.11744111
04013112521,0.10140661
04013112402,0.16132225
04013112502,0.15107532
04013112519,0.16224512
04013112401,0.15801539
04013082028,0.14886537
04013112504,0.15332836
04013112523,0.19346099
04013112520,0.16915421
04013112507,0.114633076
04013112100,0.16255355
04013112301,0.17880465
04013112201,0.16723669
04013112202,0.168322
04013112302,0.14829057
04013116900,0.11848516
04013110001,0.18482073
04013110100,0.15244555
04013109900,0.1690434
04013082017,0.15488304
04013082018,0.17062217
04013109706,0.19365656
04013109802,0.16543986
04013109705,0.17327748
04013109801,0.16741233
04013109703,0.16811135
04013109702,0.17422225
04013109707,0.21805514
04013082010,0.16285716
04013082009,0.16602324
04013109704,0.16766322
04013109500,0.17745906
04013082016,0.16473776
04013109602,0.16093272
04013109603,0.17145698
04013109604,0.17195979
04013109601,0.15697356
04013082008,0.15824087
04013082007,0.16382432
04013110002,0.16282344
04013109102,0.17100263
04013109200,0.1399743
04013109101,0.17954975
04013109401,0.1580421
04013109300,0.16792859
04013109402,0.14996368
04013107102,0.1769902
04013107101,0.17349865
04013107002,0.18325974
04013106001,0.22171466
04013105900,0.22159146
04013106002,0.21513344
04013105501,0.17083608
04013105601,0.16816814
04013105602,0.18206571
04013104205,0.17177351
04013104302,0.14848629
04013104301,0.16757612
04013104203,0.1609299
04013116712,0.16228488
04013116719,0.15186237
04013116718,0.14915158
04013116717,0.17358255
04013116711,0.16787149
04013116708,0.20743695
04013116707,0.17942092
04013116715,0.17877911
04013116709,0.22351192
04013116738,0.21059205
04013116205,0.16990517
04013116202,0.16092423
04013116204,0.16099091
04013115200,0.12083982
04013113800,0.115908384
04013113702,0.14583747
04013113602,0.16275522
04013113502,0.14751942
04013113601,0.1705114
04013113701,0.15273635
04013111203,0.1291215
04013111204,0.17704062
04013111202,0.13908586
04013111201,0.19856851
04013111100,0.28626418
04013217300,0.25934145
04013108000,0.37690786
04013108200,0.26699483
04013108100,0.3306174
04013107900,0.2506518
04013111300,0.24316728
04013111402,0.21913724
04013111401,0.19469082
04013111502,0.21955363
04013111000,0.27581963
04013110802,0.24465378
04013110902,0.19136615
04013110901,0.2173726
